LOCATION NUMBER OF DEBTOR|INFOUSA CONTACT NAME|CONTACT TITLE CODE|CONTACT TITLE CODE DESCRIPTION|IUSA COMPANY NAME|IUSA MAILING ADDRESS|IUSA MAIL CITY NAME|IUSA MAIL STATE ABBREV|IUSA MAIL ZIP|IUSA MAIL ZIP4|IUSA MAIL ZIP MERGE|IUSA MAIL CRCODE|IUSA MAIL STATE CODE|IUSA MAIL COUNTY CODE|IUSA COUNTY DESC|MSA CODE|MSA DESCRIPTION|IUSA CENSUS TRACT|IUSA BLOCK GROUP|IUSA LATITUDE|IUSA LONGITUDE|GEOCODING LEVEL CODE|IUSA PHONE NUMBER|FAXNUMO|PRIMARY SIC CODE|PRIMARY SIC DESC|SEC SIC CODE 1|SEC SIC DESC 1|SEC SIC CODE 2|SEC SIC DESC 2|SEC SIC CODE 3|SEC SIC DESC 3|SEC SIC CODE 4|SEC SIC DESC 4|NAICS CODE|NAICS DESCRIPTION|LOC EMP SIZE CODE|LOC EMP SIZE DESC|ACTUAL LOCATION EMPLOYEE SIZE|LOC SALES VOLUME CODE|LOCATION SALES VOL DESC|ACTUAL LOCATION SALES VOLUME|IUSA SUBSIDIARY ID|IUSA PARENT ID|BUSINESS STATUS CODE|YEAR FIRST APPEARED IN YP|BUS CREDIT SCORE CODE|BUSINESS CREDIT SCORE CODE|BUSINESS CREDIT SCORE (ACTUAL)|WORK AT HOME INDICATOR|OWN-LEASE CODE|SQUARE FOOTAGE CODE|WEB ADDRESS - URL|COLLATERAL TYPE|COLLATERAL TYPE DESC|CORP OR IND|DAY ADDED TO UCC DB|MONTH ADDED TO UCC DB|YEAR ADDED TO UCC DB|RECEIVED DAY|RECEIVED MONTH|RECEIVED YEAR|DELIVERABILITY SCORE|DELIVERY POINT BARCODE|EXP DAY|EXP MONTH|EXP YEAR|FILING DAY|FILING MONTH|FILING YEAR|FILING STATE|FILING STATUS|FILING STATUS DESC|FILING TYPE CODE|FILING TYPE DESC|ORIGINAL FILING ID|PARTY TYPE CODE|SOURCE FILING ID|SEC PARTY NAME|SECURED PARTY ADDRESS|SECURED PARTY CITY|SEC PARTY STATE|SECURED PARTY ZIP|SECURED PARTY ZIP4|match code|Key Code 1
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA|A|ACTIVE|A1|ORIGINAL|97484811|D|97484811|CHITTENDEN FRED C & RITA M|PO BOX 2094|PITTSFIELD|MA|01202|2094|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA||UNKNOWN|E1|TERMINATION|86626242|D|97007231|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA||UNKNOWN|E1|TERMINATION|94271053|D|97007233|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|14|08|2013|14|08|2013|2D|004|00|00|0000|05|06|2013|MA||UNKNOWN|A1|ORIGINAL|201304440260|D|201304440260|EMPIRE MERCHANT ADVANCE LLC|242 W 36TH ST FL 14|NEW YORK|NY|10018|7542|T|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|05|08|1986|MA||UNKNOWN|A1|ORIGINAL|86626241|D|86626241|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|05|08|1986|MA||UNKNOWN|A1|ORIGINAL|86626242|D|86626242|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|29|03|1991|MA||UNKNOWN|C1|CONTINUATION|86626242|D|91017116|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|01|11|1994|MA||UNKNOWN|A1|ORIGINAL|94271048|D|94271048|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|01|11|1994|MA||UNKNOWN|A1|ORIGINAL|94271053|D|94271053|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA||UNKNOWN|E1|TERMINATION|94271048|D|97007230|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA||UNKNOWN|E1|TERMINATION|86626241|D|97007232|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
378813935||B||B B CARPENTRY SVC INC|122 GORHAM ST|CHELMSFORD|MA|01824|3230|01824-3230|C005|25|017|MIDDLESEX|||317102|1||||978-656-9671||152117|KITCHEN REMODELING & PLANNING SVC|||||||||23611817|RESIDENTIAL REMODELERS|A|1-4|00002|C|$1-2.5 MILLION|000001118|||9|2006|C|70 TO 74|073|||A||||C|04|05|2012|04|05|2012|1C|223|00|00|0000|06|05|2010|MA||UNKNOWN|C1|CONTINUATION|200542312090|D|201080158870|SOVEREIGN BANK|2 WILLIAM T MORRISSEY BLVD|DORCHESTER|MA|02125|3312|T|
378813935||B||B B CARPENTRY SVC INC|122 GORHAM ST|CHELMSFORD|MA|01824|3230|01824-3230|C005|25|017|MIDDLESEX|||317102|1||||978-656-9671||152117|KITCHEN REMODELING & PLANNING SVC|||||||||23611817|RESIDENTIAL REMODELERS|A|1-4|00002|C|$1-2.5 MILLION|000001118|||9|2006|C|70 TO 74|073|||A||||C|27|02|2007|00|00|0000|1C|223|00|00|0000|27|09|2005|MA|A|ACTIVE|A1|ORIGINAL|200542312090|D|200542312090|SOVEREIGN BANK|2 WILLIAM T MORRISSEY BLVD|DORCHESTER|MA|02125|3312|T|
952068476|MARK HANNON|1|OWNER|CROWN TROPHY|225 STEDMAN ST # 30|LOWELL|MA|01851|2792|01851-2792|C035|25|017|MIDDLESEX|||311400|3||||978-291-0002|978-453-2277|599909|TROPHIES AWARDS & MEDALS|399303|ADVERTISING-SPECIALTIES-MANUFACTURERS|599925|PLAQUES|999966|FEDERAL GOVERNMENT CONTRACTORS|||45399867|ALL OTHER MISC STORE RETAILERS (EXC TOBACCO STRS)|A|1-4|00003|B|$500,000-1 MILLION|000000656||450433826|2|1996|B+|85 TO 89|088|||B|CROWNTROPHY.COM|||C|09|07|2012|09|07|2012|1C|302|00|00|0000|02|05|2012|MA||UNKNOWN|A1|ORIGINAL|201295534250|D|201295534250|APZB INDUSTRIES|300 LEDGEWOOD PL STE 301|ROCKLAND|MA|02370|1098|T|
952068476|MARK HANNON|1|OWNER|CROWN TROPHY|225 STEDMAN ST # 30|LOWELL|MA|01851|2792|01851-2792|C035|25|017|MIDDLESEX|||311400|3||||978-291-0002|978-453-2277|599909|TROPHIES AWARDS & MEDALS|399303|ADVERTISING-SPECIALTIES-MANUFACTURERS|599925|PLAQUES|999966|FEDERAL GOVERNMENT CONTRACTORS|||45399867|ALL OTHER MISC STORE RETAILERS (EXC TOBACCO STRS)|A|1-4|00003|B|$500,000-1 MILLION|000000656||450433826|2|1996|B+|85 TO 89|088|||B|CROWNTROPHY.COM|||C|27|02|2007|00|00|0000|1C|267|00|00|0000|04|11|1999|MA|A|ACTIVE|A1|ORIGINAL|99672419|D|99672419|COLONIAL PACIFIC LEASING|PO BOX 23185|PORTLAND|OR|97281|3185|T|
106983141|DAVID C BECKINGHAM|1|OWNER|BECKINGHAM CHIROPRACTIC OFFICE|PO BOX 133|IPSWICH|MA|01938|0133|01938-0133|B002|25|009|ESSEX|||223200|3||||978-356-3979|978-356-5792|804101|CHIROPRACTORS DC|||||||||62131002|OFFICES OF CHIROPRACTORS|A|1-4|00003|A|LESS THAN $500,000|000000297|||9|1989|A|90 TO 94|091|||A||||C|27|02|2007|00|00|0000|1C|645|00|00|0000|24|02|1998|MA|A|ACTIVE|A1|ORIGINAL|98531261|D|98531261|BANKERS LEASING CO|1113 LOCUST ST|DES MOINES|IA|50309|0000|T|
106983141|DAVID C BECKINGHAM|1|OWNER|BECKINGHAM CHIROPRACTIC OFFICE|PO BOX 133|IPSWICH|MA|01938|0133|01938-0133|B002|25|009|ESSEX|||223200|3||||978-356-3979|978-356-5792|804101|CHIROPRACTORS DC|||||||||62131002|OFFICES OF CHIROPRACTORS|A|1-4|00003|A|LESS THAN $500,000|000000297|||9|1989|A|90 TO 94|091|||A||||C|14|08|2013|14|08|2013|1C|645|00|00|0000|06|06|2013|MA||UNKNOWN|A1|ORIGINAL|201304459730|D|201304459730|APZB INDUSTRIES|300 LEDGEWOOD PL STE 301|ROCKLAND|MA|02370|1098|T|
106983141|DAVID C BECKINGHAM|1|OWNER|BECKINGHAM CHIROPRACTIC OFFICE|PO BOX 133|IPSWICH|MA|01938|0133|01938-0133|B002|25|009|ESSEX|||223200|3||||978-356-3979|978-356-5792|804101|CHIROPRACTORS DC|||||||||62131002|OFFICES OF CHIROPRACTORS|A|1-4|00003|A|LESS THAN $500,000|000000297|||9|1989|A|90 TO 94|091|||A||||C|05|11|2012|05|11|2012|1C|645|00|00|0000|21|09|2012|MA||UNKNOWN|A1|ORIGINAL|201298634100|D|201298634100|RHINO SERVICES|245 TOWNPARK DR NW STE 400|KENNESAW|GA|30144|3701|T|
224061382|JOSE CUEUL|1|OWNER|YUCATAN TACOS|1417 CENTRE ST|WEST ROXBURY|MA|02132|7913|02132-7913|C035|25|025|SUFFOLK|||110601|2||||617-323-7555||581208|RESTAURANTS|||||||||72251117|FULL-SERVICE RESTAURANTS|A|1-4|00003|A|LESS THAN $500,000|000000174|||9|2003|B|80 TO 84|081|||A||||C|15|05|2008|00|00|0000|1C|174|00|00|0000|17|04|2008|MA|A|ACTIVE|A1|ORIGINAL|200864692920|D|200864692920|MERCHANTS ADVANCE|475 PARK AVE S FL 16|NEW YORK|NY|10016|6904|T|
854251550|VITO AMARAL|1|OWNER|MEINEKE CAR CARE CTR|271 WASHINGTON ST|ABINGTON|MA|02351|2487|02351-2487|C013|25|023|PLYMOUTH|||520100|3||||781-878-8550||753801|AUTOMOBILE REPAIRING & SERVICE|501314|AUTOMOBILE REPAIR/SVC-EQUIP/SUPL (WHLS)|751404|AUTOMOBILE LEASING|753301|MUFFLERS & EXHAUST SYSTEMS-ENGINE|753913|AUTOMOBILE SMOG CONTROL INSPECTIONS|81111104|GENERAL AUTOMOTIVE REPAIR|A|1-4|00002|A|LESS THAN $500,000|000000243|162373062|579017898|2|1987|B+|85 TO 89|086|||A|MEINEKE.COM|||C|27|02|2007|00|00|0000|1C|710|00|00|0000|27|04|1995|MA||UNKNOWN|E1|TERMINATION|90952060|D|95003957|STEPHENS DIVERSIFIED LEASING INC|PO BOX 11280|RENO|NV|89510|1280|L|
854251550|VITO AMARAL|1|OWNER|MEINEKE CAR CARE CTR|271 WASHINGTON ST|ABINGTON|MA|02351|2487|02351-2487|C013|25|023|PLYMOUTH|||520100|3||||781-878-8550||753801|AUTOMOBILE REPAIRING & SERVICE|501314|AUTOMOBILE REPAIR/SVC-EQUIP/SUPL (WHLS)|751404|AUTOMOBILE LEASING|753301|MUFFLERS & EXHAUST SYSTEMS-ENGINE|753913|AUTOMOBILE SMOG CONTROL INSPECTIONS|81111104|GENERAL AUTOMOTIVE REPAIR|A|1-4|00002|A|LESS THAN $500,000|000000243|162373062|579017898|2|1987|B+|85 TO 89|086|||A|MEINEKE.COM|||C|27|02|2007|00|00|0000|1C|710|00|00|0000|25|04|1996|MA|A|ACTIVE|A1|ORIGINAL|96384918|D|96384918|FOXBORO NATIONAL BANK|1 MECHANIC ST|FOXBORO|MA|02035|2046|L|
854251550|VITO AMARAL|1|OWNER|MEINEKE CAR CARE CTR|271 WASHINGTON ST|ABINGTON|MA|02351|2487|02351-2487|C013|25|023|PLYMOUTH|||520100|3||||781-878-8550||753801|AUTOMOBILE REPAIRING & SERVICE|501314|AUTOMOBILE REPAIR/SVC-EQUIP/SUPL (WHLS)|751404|AUTOMOBILE LEASING|753301|MUFFLERS & EXHAUST SYSTEMS-ENGINE|753913|AUTOMOBILE SMOG CONTROL INSPECTIONS|81111104|GENERAL AUTOMOTIVE REPAIR|A|1-4|00002|A|LESS THAN $500,000|000000243|162373062|579017898|2|1987|B+|85 TO 89|086|||A|MEINEKE.COM|||C|27|02|2007|00|00|0000|1C|710|00|00|0000|20|04|1990|MA||UNKNOWN|A1|ORIGINAL|90952060|D|90952060|STEPHENS DIVERSIFIED LEASING INC|PO BOX 11280|RENO|NV|89510|1280|L|
854251550|VITO AMARAL|1|OWNER|MEINEKE CAR CARE CTR|271 WASHINGTON ST|ABINGTON|MA|02351|2487|02351-2487|C013|25|023|PLYMOUTH|||520100|3||||781-878-8550||753801|AUTOMOBILE REPAIRING & SERVICE|501314|AUTOMOBILE REPAIR/SVC-EQUIP/SUPL (WHLS)|751404|AUTOMOBILE LEASING|753301|MUFFLERS & EXHAUST SYSTEMS-ENGINE|753913|AUTOMOBILE SMOG CONTROL INSPECTIONS|81111104|GENERAL AUTOMOTIVE REPAIR|A|1-4|00002|A|LESS THAN $500,000|000000243|162373062|579017898|2|1987|B+|85 TO 89|086|||A|MEINEKE.COM|||C|09|07|2013|09|07|2013|2D|710|00|00|0000|09|05|2013|MA||UNKNOWN|A1|ORIGINAL|201303855290|D|201303855290|CORP SERVICE CO|PO BOX 2576|SPRINGFIELD|IL|62708|2576|T|
854251550|VITO AMARAL|1|OWNER|MEINEKE CAR CARE CTR|271 WASHINGTON ST|ABINGTON|MA|02351|2487|02351-2487|C013|25|023|PLYMOUTH|||520100|3||||781-878-8550||753801|AUTOMOBILE REPAIRING & SERVICE|501314|AUTOMOBILE REPAIR/SVC-EQUIP/SUPL (WHLS)|751404|AUTOMOBILE LEASING|753301|MUFFLERS & EXHAUST SYSTEMS-ENGINE|753913|AUTOMOBILE SMOG CONTROL INSPECTIONS|81111104|GENERAL AUTOMOTIVE REPAIR|A|1-4|00002|A|LESS THAN $500,000|000000243|162373062|579017898|2|1987|B+|85 TO 89|086|||A|MEINEKE.COM|||C|27|02|2007|00|00|0000|1C|710|00|00|0000|27|04|1995|MA||UNKNOWN|E1|TERMINATION|90952058|D|95003956|STEPHENS DIVERSIFIED LEASING INC|PO BOX 11280|RENO|NV|89510|1280|L|
